Date,Bitcoin,Ethereum,Solana
2013-09-28 00:00:00 UTC,133.93,0.95897678,3.634370351
2013-09-29 00:00:00 UTC,140.28,0.995574781,3.453090001
2013-09-30 00:00:00 UTC,131.65,1.024780968,3.446208523
2013-10-01 00:00:00 UTC,132.55,1.019965856,3.332662087
2013-10-02 00:00:00 UTC,132.04,1.068726621,3.224798312
2013-10-03 00:00:00 UTC,123.07,1.167362901,3.26239121
2013-10-04 00:00:00 UTC,128.26,1.129588346,2.931693208
2013-10-05 00:00:00 UTC,129.57,1.157377553,2.549465406
2013-10-06 00:00:00 UTC,127.56,1.210735463,2.919199303
2013-10-07 00:00:00 UTC,128.38,1.215691295,3.084079827
2013-10-08 00:00:00 UTC,125.72,1.321855712,3.014728897
2013-10-09 00:00:00 UTC,130.9,1.398301127,2.867958258
2013-10-10 00:00:00 UTC,129.68,1.376990019,2.773660229
2013-10-11 00:00:00 UTC,130.27,1.565411905,2.940215514
2013-10-12 00:00:00 UTC,135.35,1.544691862,2.835500587
2013-10-13 00:00:00 UTC,135.48,1.471341823,3.130126407
2013-10-14 00:00:00 UTC,140.48,1.692156285,3.19100605
2013-10-15 00:00:00 UTC,143.89,2.131691495,3.135145216
2013-10-16 00:00:00 UTC,143.61,2.481396086,3.165994885
2013-10-17 00:00:00 UTC,146.15,2.086782727,2.955775151
2013-10-18 00:00:00 UTC,151.34,2.384501159,2.945119039
2013-10-19 00:00:00 UTC,170.51,2.519719735,2.895851724
2013-10-20 00:00:00 UTC,172.01,2.486203232,2.866125781
2013-10-21 00:00:00 UTC,181.41,2.437601274,2.628903911
2013-10-22 00:00:00 UTC,193.45,2.298766557,2.553637808
2013-10-23 00:00:00 UTC,206.78,2.221883059,2.522557078
2013-10-24 00:00:00 UTC,198.8,2.403111855,2.652751429
2013-10-25 00:00:00 UTC,172.48,2.515949933,2.174595988
2013-10-26 00:00:00 UTC,178.96,2.557178944,2.290102499
2013-10-27 00:00:00 UTC,189.83,2.532878565,2.362657311
2013-10-28 00:00:00 UTC,198.55,2.517776369,2.539492735
